Participant_ID,Clip_ID,Clip_Type,Influential_Features-Eyebrows,Influential_Features-Eyes,Influential_Features-Mouth,Influential_Features-Voice,Detected_Emotion
5,Clip 5,FP,Outer edges of eyebrows raised;,,,Speech with energy or enthusiasm;,Neutral or no specific emotion;
6,Clip 5,FP,,,Lips sucked in;,Reduced Loudness;Speech that sounds hesitant or unsure;,Frustration;Confusion;
7,Clip 5,FP,,,Mouth open;,Laughter or lighthearted tone;,Engagement or interest;
8,Clip 5,FP,Eyebrows lifted near the center;,Eyes opened wider than usual;,Smiling;Mouth open;,Laughter or lighthearted tone;Speech with energy or enthusiasm;,Engagement or interest;Affection or warmth;
1,Clip 5,FP,,,Smiling,Speech with energy; Increased speech rate,Affection
2,Clip 5,FP,,,Smiling; Lips sucked in,Speech with energy,Affection; Warmth
3,Clip 5,FP,,Eyes opened wider; Repeated blinking,Lips pressed together; Lips sucked in,Increased speech rate; Speech with energy,Disgust; Surprise
4,Clip 6,FP,Eyebrows lifted near the center;,,Lips pressed together;,,Neutral or no specific emotion;
5,Clip 6,FP,,,Smiling;Mouth open;,Laughter or lighthearted tone;,Happiness;Affection or warmth;
6,Clip 6,FP,Brow lowering;,,,Stable Voice ;Monotone or flat voice;,Anxiety or nervousness;Fear;
7,Clip 6,FP,,,Lips pressed together,Slow speech with long pauses; Reduced Loudness,Sadness; Frustration
8,Clip 6,FP,Brow lowering;,Repeated blinking,,Laughter or lighthearted tone; Increased Speech Rate,Engagement or interest; Affection or warmth
1,Clip 6,FP,Eyebrows lifted near center,Eyes opened wider than usual,Smiling; Lips sucked in,Speech that is fluid and uninterrupted; Stable Voice,Neutral or no specific emotion; Relief
2,Clip 6,FP,Eyebrows lifted near center; Outer edges of eyebrows raised,Repeated blinking; Eyes opened wider,Mouth open,Monotone or flat voice; Speech that sounds hesitant or unsure,Anxiety or nervousness; Confusion
3,Clip 6,FP,,,Slight smirk,Increased Vocal Jitter and Shimmer; Speech with energy or enthusiasm,Happiness; Surprise
4,Clip 7,FN,Outer edges of eyebrows raised;,Eyes opened wider than usual,Lips pressed together; Lips sucked in,Slow speech with long pauses; Monotone or flat voice,Fear; Disgust
5,Clip 7,FN,Brow lowering;,,Mouth open,Stable Voice; Reduced Loudness,Anger; Neutral or no specific emotion
6,Clip 7,FN,,Repeated blinking,Smiling; Slight smirk,Speech that is fluid and uninterrupted; Laughter or lighthearted tone,Happiness; Engagement or interest
7,Clip 7,FN,Brow lowering;,Eyes opened wider than usual,,Speech that sounds hesitant or unsure; Increased Speech Rate,Confusion; Relief
8,Clip 7,FN,,Repeated blinking; Eyes opened wider than usual,Lips sucked in; Smiling,Monotone or flat voice; Slow speech with long pauses,Sadness; Affection or warmth
1,Clip 7,FN,,Repeated blinking,Mouth open; Lips sucked in,Monotone; Hesitant speech,Sadness
2,Clip 7,FN,Eyebrows lifted near center,,Smiling; Lips pressed together,Stable voice,Fear
3,Clip 7,FN,Eyebrows lifted near center,,Smiling; Lips pressed together,Stable voice,Fear; Sadness
4,Clip 8,FN,Brow lowering;,Repeated blinking;,,Monotone or flat voice;Slow speech with long pauses;,Anxiety or nervousness;Sadness;
5,Clip 8,FN,,Repeated blinking;,Slight smirk;,Increased Speech Rate;Speech that is fluid and uninterrupted;,Surprise;Relief;
6,Clip 8,FN,Outer edges of eyebrows raised;,Eyes opened wider than usual;,Smiling;Mouth open;,Increased Speech Rate;Speech with energy or enthusiasm;,Surprise;Engagement or interest;
7,Clip 8,FN,Eyebrows lifted near the center;,,Slight smirk;,Stable Voice ;Speech that is fluid and uninterrupted;,Engagement or interest;
8,Clip 8,FN,,Eyes opened wider than usual;,,Speech that is fluid and uninterrupted;,Neutral or no specific emotion;
1,Clip 8,FN,Eyebrows lifted near center,Eyes opened wider,,Increased speech rate,Engagement
2,Clip 8,FN,,,,Hesitant speech; Stable voice,Relief; Warmth
3,Clip 8,FN,Outer edges of eyebrows raised,Repeated blinking,,Increased speech rate; Hesitant speech,Confusion; Frustration; Sadness
